Location Number,Location Name,Location ID,Lat,Long,Address,URL
0,"Anchorage, Alaska",1.06E+14,61.2175,-149.8917,,https://www.instagram.com/explore/locations/106199619411091
1,Russian Jack Park,1.06E+14,61.209655,-149.792306,Russian Jack Park,https://www.instagram.com/explore/locations/105651667844614
2,99508,3.85E+14,61.20421129,-149.8127307,,https://www.instagram.com/explore/locations/385296328279309
3,"University of Alaska, Anchorage",1.07E+14,61.19007204,-149.8269318,,https://www.instagram.com/explore/locations/106608902708301
4,"Chena Hot Springs Resort, Fairbanks",6.04E+14,61.2114237,-149.8770151,"56.5 Chena Hot Springs Rd, Anchorage, Alaska",https://www.instagram.com/explore/locations/603715426467303
5,Alaska,1.02E+14,61.2177682,-149.8968619,,https://www.instagram.com/explore/locations/101807378045201
6,Russian Jack Elementary,3.23E+14,61.20098,-149.79891,"4300 E 20th Ave, Anchorage, AK ",https://www.instagram.com/explore/locations/322515704618756
7,Joint Base Elmendorf-Richardson - JBER,1.25E+14,61.257027,-149.79824,,https://www.instagram.com/explore/locations/124523484267930
8,Baluga point,2.33E+15,61.2175,-149.8917,,https://www.instagram.com/explore/locations/2331415500466252
9,"Valdez, Ak",4.14E+14,61.21254002,-149.8786858,"Valdez, Alaska",https://www.instagram.com/explore/locations/414304365272856
10,Alaska - the Last Frontier,4.45E+14,61.172709,-149.9839426,,https://www.instagram.com/explore/locations/445486932260485
11,Goose Lake,1.03E+14,61.1956,-149.821,,https://www.instagram.com/explore/locations/103119483061955
12,University Lake Dog Park,1.58E+14,61.18693809,-149.8023176,"Anchorage, AK",https://www.instagram.com/explore/locations/157889250892596
13,"Eagle River Nature Center, Chugach State Park",3.58E+14,61.16865779,-149.8591608,,https://www.instagram.com/explore/locations/357665837643219
14,Alaska Pacific University,1.06E+14,61.1893,-149.8042,,https://www.instagram.com/explore/locations/105588996141328
15,Campbell Creek Trail,5.66E+14,61.1747419,-149.830001,,https://www.instagram.com/explore/locations/566337493409177
16,Cartee Softball Fields,1.23E+14,61.21307017,-149.7904384,"Anchorage, AK",https://www.instagram.com/explore/locations/123479104368309
17,Van Gogh Anchorage,1.10E+14,61.21551,-149.89439,"600 W 7th Ave, Anchorage, Alaska",https://www.instagram.com/explore/locations/110020691566841
18,Merrill Field,1.11E+14,61.2136,-149.844,2331 Merrill Field Dr,https://www.instagram.com/explore/locations/110613572323050
19,Elmendorf Air Force Base,1.39E+14,61.23528693,-149.7653285,5955 Zeamer Ave,https://www.instagram.com/explore/locations/138853256143177
20,Cheney Lake,1.39E+14,61.20241566,-149.7601748,2245 Baxter Rd.,https://www.instagram.com/explore/locations/139332716102887
21,"Whittier Boat Harbor , Alaska",3.73E+14,61.20519596,-149.8595711,"Anchorage, Alaska",https://www.instagram.com/explore/locations/372881966097067
22,Alaska Helicopter Tours,5.21E+14,,,,https://www.instagram.com/explore/locations/520968907987658
23,Alaska Native Medical Center,3.07E+14,61.18250421,-149.8003087,"4315 Diplomacy Drive, Anchorage, Alaska",https://www.instagram.com/explore/locations/307271179295897
24,Russian Jack Springs Park,2.00E+14,61.2069,-149.787,"Anchorage, Alaska",https://www.instagram.com/explore/locations/200490390137390
25,Russian Jack Springs Golf Course,1.03E+14,61.20613927,-149.7886752,"1600 Lidia Selkregg Ln, Anchorage, AK",https://www.instagram.com/explore/locations/103019193378614
26,Kenai Fjords Tours,1.04E+15,61.218577,-149.857614,"1304 E 4th Ave , Anchorage, AK",https://www.instagram.com/explore/locations/1038768516143341
27,Bethel Regional High School,1.38E+15,61.2005,-149.805,,https://www.instagram.com/explore/locations/1380888408900263
28,Taku Lake,1.47E+14,61.15144928,-149.8805087,"Anchorage, AK",https://www.instagram.com/explore/locations/146798262025400
29,ChangePoint Alaska,1.34E+11,,,,https://www.instagram.com/explore/locations/134315951779
30,Arctic Industrial,2.93E+14,61.161942,-149.896196,"Arctic Industrial, Anchorage, Alaska",https://www.instagram.com/explore/locations/292521964181775
31,Kincaid Park Coastal Trail,1.97E+14,61.159317,-149.899451,"Anchorage, AK",https://www.instagram.com/explore/locations/196520960877133
32,The Dome,1.98E+14,61.16229984,-149.9021213,"6501 Changepoint Dr, Anchorage, Alaska",https://www.instagram.com/explore/locations/197927633564453
33,Wilderness Express Train,3.45E+14,61.17087,-149.92023,"1900 Premier Ct, Anchorage, AK",https://www.instagram.com/explore/locations/344951472548627
34,Aleyaska Resort,2.87E+14,61.1737549,-149.8848327,"Anchorage, AK",https://www.instagram.com/explore/locations/286980708711938
35,Connors Bog Dog Park,1.67E+14,61.17150277,-149.9393335,"5404 Jewel Lake Rd, Anchorage, AK",https://www.instagram.com/explore/locations/167259073314598
36,Kincaid Park,1.03E+14,61.15416667,-150.0555556,,https://www.instagram.com/explore/locations/103193929734122
37,Ted Stevens Anchorage International Airport,1.23E+14,61.17450354,-149.9828141,"5000 W International Airport Rd, Anchorage, AK",https://www.instagram.com/explore/locations/123415964372614
38,Tony Knowles Coastal Trail,1.09E+14,61.20928532,-149.9197059,"Anchorage, Alaska",https://www.instagram.com/explore/locations/108710265829084
