Location Number,Location Name,Location ID,Lat,Long,Address,URL
0,"Bethel, Alaska",1.06E+14,60.7897,-161.779,,https://www.instagram.com/explore/locations/106181876079678
1,"Napaskiak, Alaska",1.06E+14,60.70526,-161.76647,,https://www.instagram.com/explore/locations/105597346140091
2,"Kuiggayagaq, Alaska",2.95E+14,60.72378934,-161.7744128,,https://www.instagram.com/explore/locations/295109613985991
3,"Napakiak, Alaska",1.14E+14,60.6933,-161.973,,https://www.instagram.com/explore/locations/113970011946519
4,Napaskiak Airport,1.35E+14,60.7028,-161.778,,https://www.instagram.com/explore/locations/135453909819910
5,Sandpit,8.00E+14,60.7897,-161.779,,https://www.instagram.com/explore/locations/799867490165187
6,Napaskiak School,3.50E+14,60.7078407,-161.7608802,,https://www.instagram.com/explore/locations/350420625093238
7,St. Jacob's Church,3.96E+14,60.70833333,-161.7630556,,https://www.instagram.com/explore/locations/396246360502136
8,Beautiful Bethel,2.06E+15,,,,https://www.instagram.com/explore/locations/2064002453722657
9,The Kuskokwim River,7.51E+14,60.80735103,-161.8213337,"Front Street, Bethel, Alaska",https://www.instagram.com/explore/locations/750756748597018
10,Hangar Lake,1.11E+14,60.7934349,-161.7639423,,https://www.instagram.com/explore/locations/110698432318054
11,Fishcamp,2.04E+14,60.79054093,-161.7911492,"Bethel, Alaska",https://www.instagram.com/explore/locations/204348499607710
12,Yukon Kuskokwim Delta,3.53E+14,60.7897,-161.779,,https://www.instagram.com/explore/locations/353276881945537
13,Tundra Ridge,4.63E+14,60.80739352,-161.8165407,,https://www.instagram.com/explore/locations/462983120382650
14,Bethel Airport,1.10E+14,60.77861111,-161.8372222,Chief Eddy Hoffman Hwy,https://www.instagram.com/explore/locations/110181812366682
15,Qugcuun Memorial School,9.75E+14,60.72237792,-161.7697827,"115 Village Road, Oscarville, Alaska",https://www.instagram.com/explore/locations/975435069166225
16,Alaska Airlines - Bethel Airport (BET),1.49E+14,,,,https://www.instagram.com/explore/locations/149254108475601
17,Kasayulie,2.26E+14,60.7719847,-161.8810649,,https://www.instagram.com/explore/locations/225830024095165
