Location Number,Location Name,Location ID,Lat,Long,Address,URL
0,"Fairbanks, Alaska",1.05702E+14,64.8431,-147.7238,,https://www.instagram.com/explore/locations/105702359464339
1,Fort Wainwright,1.12669E+14,64.828608,-147.62309,,https://www.instagram.com/explore/locations/112669305412118
2,Tanana Lakes Recreation Area,1.06303E+15,64.79947132,-147.7364648,,https://www.instagram.com/explore/locations/1063026727171038
3,"North Pole, Alaska",1.05998E+14,64.751,-147.352,,https://www.instagram.com/explore/locations/105998039430784
4,Alaska,1.09188E+14,64.8431,-147.7238,,https://www.instagram.com/explore/locations/109188177131365
5,Chena Hot Springs,3.75918E+14,64.88785619,-147.6312134,,https://www.instagram.com/explore/locations/375917993146641
6,Arctic Circle Alaska,1.99543E+15,64.84361111,-147.7230556,"Coldfoot, Alaska",https://www.instagram.com/explore/locations/1995429217402614
7,Chena Hot Springs Resort,8.66007E+14,64.84357807,-147.7202347,"551 2nd Ave, Fairbanks, AK",https://www.instagram.com/explore/locations/866007076850504
8,"Santa's House - North Pole, AK",1.73302E+14,64.83755926,-147.8234549,,https://www.instagram.com/explore/locations/173301802687837
9,"Tanana Lakes Fairbanks, Ak",3.05169E+14,64.83720998,-147.7430661,,https://www.instagram.com/explore/locations/305168726310494
10,Alaska Artic Circle,1.4894E+14,64.8330137,-147.8473644,"Fairbanks, Alaska",https://www.instagram.com/explore/locations/148940358650405
11,Ice Museum,3.89601E+14,64.84368462,-147.7178013,510-598 2nd Ave,https://www.instagram.com/explore/locations/389601437744072
12,"Dalton Highway, Alaska Route 11",1.77633E+14,64.84287831,-147.7698883,"Fairbanks, Alaska",https://www.instagram.com/explore/locations/177633445581612
13,Fountainhead Antique Auto Museum,1.94025E+11,64.86046882,-147.7140082,"212 Wedgewood Dr, Fairbanks, Alaska",https://www.instagram.com/explore/locations/194024748369
14,Charlevoix Michigan,1.01143E+14,64.80547396,-147.6877112,,https://www.instagram.com/explore/locations/101142573367757
15,Creamers Field Trails,1.94336E+14,64.84109112,-147.8573488,,https://www.instagram.com/explore/locations/194336334032894
16,Creamer's Field Migratory Waterfowl Refuge,1.38956E+14,64.8708,-147.733,,https://www.instagram.com/explore/locations/138955772794851
17,"South Cushman, Fairbanks, Alaska",4.35306E+14,64.8276585,-147.7041655,,https://www.instagram.com/explore/locations/435306366516865
18,South Side,2.32404E+14,64.82271738,-147.7292791,2605 barnette street,https://www.instagram.com/explore/locations/232404133603080
19,Alaska Railroad Aurora Winter Train,1.20763E+14,64.85138562,-147.7404121,,https://www.instagram.com/explore/locations/120763181330988
20,Carlson Center,4.16268E+14,64.8046532,-147.6946919,,https://www.instagram.com/explore/locations/416267695061237
21,South Cushman Outdoor Shooting Range,1.16371E+14,64.79380891,-147.6965507,"Fairbanks, AK",https://www.instagram.com/explore/locations/116370655091470
22,Arctic National Wildlife Refuge,1.38284E+14,64.83938875,-147.7071474,,https://www.instagram.com/explore/locations/138283512868883
23,Alaska Axe Co. Axe-Throwing,1.08711E+14,64.81460727,-147.7457285,3501 Lathrop Street,https://www.instagram.com/explore/locations/108711490933590
24,University of Alaska Fairbanks,6828054843,64.85846068,-147.8295893,"505 South Chandalar Drive, Fairbanks, Alaska",https://www.instagram.com/explore/locations/6828054843
25,Pioneer Park,1.15132E+14,64.839076,-147.774788,,https://www.instagram.com/explore/locations/115131938499630
26,"Chena, Alaska",1.43388E+14,64.7956,-147.952,,https://www.instagram.com/explore/locations/143388225673506
27,"College, Alaska",1.0741E+14,64.8483,-147.827,,https://www.instagram.com/explore/locations/107410409288084
28,"Ester, Alaska",1.1239E+14,64.8557,-147.978,,https://www.instagram.com/explore/locations/112389562105486
29,Fairbanks International Airport,1.27004E+14,64.81758651,-147.8671834,"6450 Airport Way, Fairbanks, AK",https://www.instagram.com/explore/locations/127003674012987
30,"Chena Ridge, Alaska",5.06664E+14,64.7989,-148.024,,https://www.instagram.com/explore/locations/506663916104967
31,Riverboat Discovery,1.00858E+14,64.83008328,-147.8660762,"1975 Discovery Dr, Fairbanks, Alaska",https://www.instagram.com/explore/locations/100858119958816
