Location Number,Location Name,Location ID,Lat,Long,Address,URL
0,Jeaneu Alaska,1.10751E+15,58.30046504,-134.4079796,,https://www.instagram.com/explore/locations/1107514725972357
1,"Juneau, Alaska",1.0966E+14,58.29973,-134.40679,,https://www.instagram.com/explore/locations/109659625720552
2,"Juneuo, Alaska",2.66058E+14,58.3003184,-134.404922,,https://www.instagram.com/explore/locations/266057667382598
3,Juneau Harbor,4.54257E+14,58.29589261,-134.4000185,,https://www.instagram.com/explore/locations/454257254606952
4,Downtown Juneau,1.6647E+15,58.304741,-134.392553,"Downtown Juneau, Juneau",https://www.instagram.com/explore/locations/1664704077078630
5,Port of Juneau -Alaska- USA,3.02508E+14,58.29783128,-134.4032621,"1600 Harbor Way, Juneau, Alaska",https://www.instagram.com/explore/locations/302508026502612
6,Juneau Waterfront,1.13358E+14,58.29939774,-134.4055102,,https://www.instagram.com/explore/locations/113357942090701
7,Alaska's Inside Passage,8.83197E+14,,,,https://www.instagram.com/explore/locations/883196715059286
8,"Áak'w Ḵwáan Territory - Tlingit Country (Juneau, Alaska)",8.68479E+14,58.30031,-134.40671,105 S. Seward St.,https://www.instagram.com/explore/locations/868479123282797
9,Tracy Arm Fjords National Park,2.01926E+14,58.28783926,-134.4094849,"Juneau, AK",https://www.instagram.com/explore/locations/201925590309972
10,Red Dog Saloon,1.0271E+14,58.299,-134.404,,https://www.instagram.com/explore/locations/102709889782895
11,Juneau Alaska. Whales!,1.75717E+14,58.2994419,-134.4051399,"Juneau, Alaska",https://www.instagram.com/explore/locations/175717139156913
12,Tracy's King Crab Shack,1.20448E+11,58.29716771,-134.4020452,"432 Franklin Street, Juneau, Alaska",https://www.instagram.com/explore/locations/120448230133
13,Gold Rush Sled Dog Summer Camp,4.34463E+14,58.30181152,-134.4197202,"Juneau, Alaska",https://www.instagram.com/explore/locations/434462703232575
14,"Radiance Of The Sea In Juneau, Ak",1.18247E+14,58.296491,-134.4019159,"Juneau, Alaska",https://www.instagram.com/explore/locations/118247394929176
15,Norwegian Bliss,6.25901E+14,58.289085,-134.39697,,https://www.instagram.com/explore/locations/625900731114158
16,Juneau Mendenhall Glacier Float and River Rafting Excursion,2.72083E+14,58.30125,-134.40854,"Juneau, AK",https://www.instagram.com/explore/locations/272083496526834
17,Dog Sled Discovery & Musher's Camp,4.0601E+14,58.304601,-134.406349,"634 6th St , Juneau, AK",https://www.instagram.com/explore/locations/406009709594406
18,Tracy Arm Fjord Glacier Cruises,4.9654E+14,58.29922,-134.40967,"76 Egan Dr, Juneau, AK",https://www.instagram.com/explore/locations/496539540772949
19,Mount Roberts Trail,2.08723E+15,58.30726,-134.401377,490 S Franklin St,https://www.instagram.com/explore/locations/2087225294906276
20,Gastineau Channel,1.42526E+14,58.30278883,-134.414118,,https://www.instagram.com/explore/locations/142525569097030
21,Alaska Cruise Northern Dream,5.30927E+14,58.29995083,-134.4073899,"Juneau, Alaska",https://www.instagram.com/explore/locations/530926946984716
22,Alaska Tales,7.37367E+14,58.29896,-134.40588,"Marine Way, Juneau, AK",https://www.instagram.com/explore/locations/737367209935392
23,Tracy Arm Adventure Bound Alaska,1.03437E+15,58.299325,-134.409624,"76 Egan Dr, Ste 110, Juneau, Alaska",https://www.instagram.com/explore/locations/1034372959927694
24,Juneau Taku Glacier Helicopter and Airboat Expedition Excursion,7.36981E+14,58.29924225,-134.4058225,"Juneau, AK",https://www.instagram.com/explore/locations/736980576692198
25,Juneau Borough,2.4468E+14,58.3,-134.4166667,Juneau Borough,https://www.instagram.com/explore/locations/244680102211980
26,Mendenhall Center,1.4403E+14,58.29966,-134.40659,,https://www.instagram.com/explore/locations/144030022298473
27,Juneau Tours and Whale Watch,1.7036E+14,58.29912519,-134.4096646,"190 MILL ST, Juneau, AK",https://www.instagram.com/explore/locations/170359843087383
28,Perseverance Trai,3.9329E+14,58.30689,-134.38494,"1001 Basin Rd, Juneau, AK",https://www.instagram.com/explore/locations/393289970855867
29,Seward Alaska,1.79335E+15,58.29449593,-134.4012295,,https://www.instagram.com/explore/locations/1793350054235078
30,"Juneua, Alaska",4.77921E+14,58.28211652,-134.3887744,,https://www.instagram.com/explore/locations/477921068888162
31,"Dawes Glacier, Alaska",1.19346E+14,58.2892318,-134.3982347,,https://www.instagram.com/explore/locations/119345775396671
32,West Juneau,1.10587E+14,58.291188,-134.437686,,https://www.instagram.com/explore/locations/110586932300870
33,Princess Cruises,3.94954E+14,58.28961592,-134.3970506,,https://www.instagram.com/explore/locations/394954440545858
34,"State of Alaska, Skagway, Juneau, and Ketchikan",7.80643E+14,58.28128806,-134.403518,"Juneau, Alaska",https://www.instagram.com/explore/locations/780642561975072
35,Holland America Lines,1.45639E+14,58.28689,-134.38689,"151 Mill St, Juneau, AK",https://www.instagram.com/explore/locations/145638855480150
36,"Celebrity Solstice in Juneau, Alaska",1.89724E+14,58.2894115,-134.3979805,"Juneau, Alaska",https://www.instagram.com/explore/locations/189723997855073
37,"Juneau, Alaska / USA Excursions",2.8089E+14,58.28931,-134.39637,"1110 Jacobsen Dr, Juneau, AK 99801, EE. UU., Juneau, Alaska",https://www.instagram.com/explore/locations/280890302312484
38,"Juneau, Al",2.35975E+14,58.28896668,-134.3968524,,https://www.instagram.com/explore/locations/235975073169757
39,"Gold Rush Dog Tours, LLC",1.90317E+11,58.30175,-134.41149,"500 Sheep Creek Mine Rd, Juneau, Alaska",https://www.instagram.com/explore/locations/190316583410
40,Port of Whittier Alaska USA,1.48503E+15,58.2924727,-134.3965279,,https://www.instagram.com/explore/locations/1485034738456256
41,Princess Cruise Lines,1.53384E+14,58.29357994,-134.396621,"704 S Franklin St , Juneau, AK",https://www.instagram.com/explore/locations/153384211693277
